__KEY_location;id_u6;name_u4
20;TUxBUENIVXQxNDM1MQ;Chubut
20;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
20;TUxBUENPUmFkZGIw;Córdoba
20;TUxBUENPUnM5MjI0;Corrientes
20;TUxBUEpVSnk3YmUz;Jujuy
20;TUxBUEVOVHMzNTdm;Entre Ríos
20;TUxBUExBWmE1OWMy;La Pampa
20;TUxBUFLNT29iZmZm;Río Negro
20;TUxBUFNBTGFjMTJi;Salta
20;TUxBUFNBTm9lOTlk;Santiago Del Estero
20;TUxBUFNBTmU5Nzk2;Santa Fe
20;TUxBUFNBTnM0ZTcz;San Luis
20;TUxBUFNBTno3ZmY5;Santa Cruz
20;TUxBUFpPTmFpbnRl;Buenos Aires Interior
20;TUxBUFRVQ244NmM3;Tucumán
21;TUxBUE1FTmE5OWQ4;Mendoza
21;TUxBUE1JU3MzNjIx;Misiones
21;TUxBUE5FVW4xMzMzNQ;Neuquén
21;TUxBUEdSQWU4ZDkz;Bs.as. G.b.a. Norte
21;TUxBUEdSQWVmNTVm;Bs.as. G.b.a. Oeste
21;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
21;TUxBUENBUGw3M2E1;Capital Federal
21;TUxBUENIVXQxNDM1MQ;Chubut
21;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
21;TUxBUENPUmFkZGIw;Córdoba
21;TUxBUENPUnM5MjI0;Corrientes
21;TUxBUEVOVHMzNTdm;Entre Ríos
21;TUxBUExBWmE1OWMy;La Pampa
21;TUxBUEZPUmE1OTk5;Formosa
21;TUxBUFLNT29iZmZm;Río Negro
21;TUxBUFNBTGFjMTJi;Salta
21;TUxBUFNBTm9lOTlk;Santiago Del Estero
21;TUxBUFNBTmU5Nzk2;Santa Fe
21;TUxBUFNBTnM0ZTcz;San Luis
21;TUxBUFNBTno3ZmY5;Santa Cruz
21;TUxBUFpPTmFpbnRl;Buenos Aires Interior
21;TUxBUFRVQ244NmM3;Tucumán
22;TUxBUE1FTmE5OWQ4;Mendoza
22;TUxBUE1JU3MzNjIx;Misiones
22;TUxBUE5FVW4xMzMzNQ;Neuquén
22;TUxBUEdSQWU4ZDkz;Bs.as. G.b.a. Norte
22;TUxBUEdSQWVmNTVm;Bs.as. G.b.a. Oeste
22;TUxBUEdSQXJlMDNm;Bs.as. G.b.a. Sur
22;TUxBUENBUGw3M2E1;Capital Federal
22;TUxBUENIQW8xMTNhOA;Chaco
22;TUxBUENPU2ExMmFkMw;Bs.as. Costa Atlántica
22;TUxBUENPUmFkZGIw;Córdoba
22;TUxBUENPUnM5MjI0;Corrientes
22;TUxBUEVOVHMzNTdm;Entre Ríos
22;TUxBUExBWmE1OWMy;La Pampa
22;TUxBUFLNT29iZmZm;Río Negro
22;TUxBUFNBTGFjMTJi;Salta
22;TUxBUFNBTm9lOTlk;Santiago Del Estero
22;TUxBUFNBTmU5Nzk2;Santa Fe
22;TUxBUFNBTnM0ZTcz;San Luis
